      x     collocation  subdomain    galerkin  leastsquare  LSCollocation    exact
-1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 2.6021e-18
-9.1667e-01 -1.2679e-03 -1.9314e-03 -1.5908e-03 -1.6106e-03 -1.4489e-03 -1.8954e-03
-8.3333e-01 -2.5107e-03 -3.8244e-03 -3.1500e-03 -3.1892e-03 -2.8689e-03 -3.6894e-03
-7.5000e-01 -3.7050e-03 -5.6436e-03 -4.6484e-03 -4.7063e-03 -4.2336e-03 -5.3159e-03
-6.6667e-01 -4.8299e-03 -7.3572e-03 -6.0598e-03 -6.1352e-03 -5.5191e-03 -6.7392e-03
-5.8333e-01 -5.8666e-03 -8.9364e-03 -7.3605e-03 -7.4522e-03 -6.7037e-03 -7.9464e-03
-5.0000e-01 -6.7987e-03 -1.0356e-02 -8.5299e-03 -8.6361e-03 -7.7688e-03 -8.9406e-03
-4.1667e-01 -7.6116e-03 -1.1594e-02 -9.5498e-03 -9.6687e-03 -8.6977e-03 -9.7347e-03
-3.3333e-01 -8.2933e-03 -1.2633e-02 -1.0405e-02 -1.0535e-02 -9.4766e-03 -1.0347e-02
-2.5000e-01 -8.8338e-03 -1.3456e-02 -1.1083e-02 -1.1221e-02 -1.0094e-02 -1.0798e-02
-1.6667e-01 -9.2254e-03 -1.4053e-02 -1.1575e-02 -1.1719e-02 -1.0542e-02 -1.1105e-02
-8.3333e-02 -9.4626e-03 -1.4414e-02 -1.1872e-02 -1.2020e-02 -1.0813e-02 -1.1283e-02
0.0000e+00 -9.5420e-03 -1.4535e-02 -1.1972e-02 -1.2121e-02 -1.0904e-02 -1.1342e-02
8.3333e-02 -9.4626e-03 -1.4414e-02 -1.1872e-02 -1.2020e-02 -1.0813e-02 -1.1283e-02
1.6667e-01 -9.2254e-03 -1.4053e-02 -1.1575e-02 -1.1719e-02 -1.0542e-02 -1.1105e-02
2.5000e-01 -8.8338e-03 -1.3456e-02 -1.1083e-02 -1.1221e-02 -1.0094e-02 -1.0798e-02
3.3333e-01 -8.2933e-03 -1.2633e-02 -1.0405e-02 -1.0535e-02 -9.4766e-03 -1.0347e-02
4.1667e-01 -7.6116e-03 -1.1594e-02 -9.5498e-03 -9.6687e-03 -8.6977e-03 -9.7347e-03
5.0000e-01 -6.7987e-03 -1.0356e-02 -8.5299e-03 -8.6361e-03 -7.7688e-03 -8.9406e-03
5.8333e-01 -5.8666e-03 -8.9364e-03 -7.3605e-03 -7.4522e-03 -6.7037e-03 -7.9464e-03
6.6667e-01 -4.8299e-03 -7.3572e-03 -6.0598e-03 -6.1352e-03 -5.5191e-03 -6.7392e-03
7.5000e-01 -3.7050e-03 -5.6436e-03 -4.6484e-03 -4.7063e-03 -4.2336e-03 -5.3159e-03
8.3333e-01 -2.5107e-03 -3.8244e-03 -3.1500e-03 -3.1892e-03 -2.8689e-03 -3.6894e-03
9.1667e-01 -1.2679e-03 -1.9314e-03 -1.5908e-03 -1.6106e-03 -1.4489e-03 -1.8954e-03
1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 2.6021e-18
